participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,study_students.1.player.id_in_group,study_students.1.player.role,study_students.1.player.payoff,study_students.1.player.pslvis_experiment_id,study_students.1.player.pslvis_subject_id,study_students.1.player.has_pslvis_subject_id,study_students.1.player.experiment_program,study_students.1.player.data_protection,study_students.1.player.gender,study_students.1.player.age,study_students.1.player.highest_education,study_students.1.player.study_program,study_students.1.player.job,study_students.1.player.first_assessment_round,study_students.1.player.second_assessment_round,study_students.1.player.task_order_first,study_students.1.player.task_order_second,study_students.1.player.quiz_think_aloud,study_students.1.player.brier_first,study_students.1.player.brier_second,study_students.1.player.quiz_1,study_students.1.player.quiz_1_num_wrong,study_students.1.player.quiz_2,study_students.1.player.quiz_2_num_wrong,study_students.1.player.quiz_3,study_students.1.player.quiz_3_num_wrong,study_students.1.player.quiz_4,study_students.1.player.quiz_4_num_wrong,study_students.1.player.quiz_5,study_students.1.player.quiz_5_num_wrong,study_students.1.player.quiz_6,study_students.1.player.quiz_6_num_wrong,study_students.1.player.quiz_7,study_students.1.player.quiz_7_num_wrong,study_students.1.player.quiz_8,study_students.1.player.quiz_8_num_wrong,study_students.1.player.quiz_9,study_students.1.player.quiz_9_num_wrong,study_students.1.player.quiz_10,study_students.1.player.quiz_10_num_wrong,study_students.1.player.quiz_11,study_students.1.player.quiz_11_num_wrong,study_students.1.player.quiz_12,study_students.1.player.quiz_12_num_wrong,study_students.1.player.quiz_13,study_students.1.player.quiz_13_num_wrong,study_students.1.player.quiz_14,study_students.1.player.quiz_14_num_wrong,study_students.1.player.mental_feature_MatheNaturStudium,study_students.1.player.mental_feature_AlterStudienbeginn,study_students.1.player.mental_feature_Männlich,study_students.1.player.mental_feature_Migrant,study_students.1.player.mental_feature_NoteAbschlusszeugnis,study_students.1.player.mental_feature_Gymnasiumbesucht,study_students.1.player.mental_feature_MatheLeistungskurs,study_students.1.player.mental_feature_BerufsbegleitendesStudium,study_students.1.player.mental_feature_Fernstudium,study_students.1.player.mental_feature_ZufriedenheitLeben,study_students.1.player.mental_feature_Gewissenhaftigkeit,study_students.1.player.mental_feature_Verträglichkeit,study_students.1.player.mental_feature_Extraversion,study_students.1.player.mental_feature_OffenheitIntellekt,study_students.1.player.mental_feature_Neurotizismus,study_students.1.player.task_order_first_1,study_students.1.player.task_actual_value_first_1,study_students.1.player.first_assessment_1,study_students.1.player.task_order_first_2,study_students.1.player.task_actual_value_first_2,study_students.1.player.first_assessment_2,study_students.1.player.task_order_first_3,study_students.1.player.task_actual_value_first_3,study_students.1.player.first_assessment_3,study_students.1.player.task_order_first_4,study_students.1.player.task_actual_value_first_4,study_students.1.player.first_assessment_4,study_students.1.player.task_order_first_5,study_students.1.player.task_actual_value_first_5,study_students.1.player.first_assessment_5,study_students.1.player.task_order_first_6,study_students.1.player.task_actual_value_first_6,study_students.1.player.first_assessment_6,study_students.1.player.task_order_first_7,study_students.1.player.task_actual_value_first_7,study_students.1.player.first_assessment_7,study_students.1.player.task_order_first_8,study_students.1.player.task_actual_value_first_8,study_students.1.player.first_assessment_8,study_students.1.player.task_order_first_9,study_students.1.player.task_actual_value_first_9,study_students.1.player.first_assessment_9,study_students.1.player.task_order_first_10,study_students.1.player.task_actual_value_first_10,study_students.1.player.first_assessment_10,study_students.1.player.task_order_second_1,study_students.1.player.task_actual_value_second_1,study_students.1.player.second_assessment_1,study_students.1.player.task_order_second_2,study_students.1.player.task_actual_value_second_2,study_students.1.player.second_assessment_2,study_students.1.player.task_order_second_3,study_students.1.player.task_actual_value_second_3,study_students.1.player.second_assessment_3,study_students.1.player.task_order_second_4,study_students.1.player.task_actual_value_second_4,study_students.1.player.second_assessment_4,study_students.1.player.task_order_second_5,study_students.1.player.task_actual_value_second_5,study_students.1.player.second_assessment_5,study_students.1.player.task_order_second_6,study_students.1.player.task_actual_value_second_6,study_students.1.player.second_assessment_6,study_students.1.player.task_order_second_7,study_students.1.player.task_actual_value_second_7,study_students.1.player.second_assessment_7,study_students.1.player.task_order_second_8,study_students.1.player.task_actual_value_second_8,study_students.1.player.second_assessment_8,study_students.1.player.task_order_second_9,study_students.1.player.task_actual_value_second_9,study_students.1.player.second_assessment_9,study_students.1.player.task_order_second_10,study_students.1.player.task_actual_value_second_10,study_students.1.player.second_assessment_10,study_students.1.group.id_in_subsession,study_students.1.subsession.round_number
1,68pyit1r,,0,33,33,study_students,End,2024-08-28 08:37:59.528387,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,1,,0.0,oeMfOg,ZligBg,1,Ingenieur Studium,,Männlich,34,Master Education,Lehramt Physik und Deutsch LA GyGe,Wiss. Mitarbeiter,11,11,2 9 1 6 3 8 5 7 4 10,2 10 5 9 3 7 1 6 4 8,5,0.28664,0.28402000000000005,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",1,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,0,63%,1,Keines,0,70%,0,Nein,0,"Merkmale, Reihenfolge der Merkmale und Scores",0,Regeln und Wahrscheinlichkeiten,0,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,-20,0,-50,-40,0,30,90,-70,30,70,80,50,40,-90,2,1,80,9,0,65,1,1,55,6,0,55,3,1,40,8,0,60,5,1,50,7,1,90,4,1,67,10,0,90,2,1,68,10,0,67,5,1,67,9,0,75,3,1,50,7,1,80,1,1,75,6,0,80,4,1,55,8,0,65,1,1
2,anm6e3gl,,0,33,33,study_students,End,2024-09-02 06:05:50.791009,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,2,,0.0,oeMfOg,8NEtzA,1,Ingenieur Studium,,Männlich,34,Master of Science,Maschinenbau,Wissenschaftlicher Mitarbeiter,11,11,8 7 1 10 9 2 5 3 4 6,7 2 4 9 3 6 10 8 1 5,15,0.31909,0.22501,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",0,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,0,63%,0,Keines,0,70%,0,Nein,0,"Merkmale, Reihenfolge der Merkmale und Scores",0,Regeln und Wahrscheinlichkeiten,0,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,30,-30,0,0,-30,50,40,0,67,10,0,33,50,-66,8,0,75,7,1,95,1,1,90,10,0,80,9,0,85,2,1,90,5,1,34,3,1,50,4,1,67,6,0,67,7,1,75,2,1,80,4,1,86,9,0,71,3,1,25,6,0,50,10,0,33,8,0,50,1,1,55,5,1,50,1,1
3,3wiz43um,,0,33,33,study_students,End,2024-09-02 11:05:47.434388,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,3,,0.0,oeMfOg,LN3JTA,1,Ingenieur Studium,,Männlich,30,Master of Science,Wirtschaftsingenieurwesen / Maschinenbau,Wissenschaftlicher Mitarbeiter,11,11,8 7 4 3 6 1 10 5 9 2,2 7 1 5 4 9 10 8 3 6,15,0.23675000000000002,0.24220999999999998,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",0,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,0,63%,0,Keines,0,70%,0,Nein,0,"Merkmale, Reihenfolge der Merkmale und Scores",0,Regeln und Wahrscheinlichkeiten,0,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,40,-20,0,50,30,30,-30,-40,40,0,0,10,10,-30,8,0,60,7,1,70,4,1,71,3,1,60,6,0,65,1,1,67,10,0,60,5,1,62,9,0,74,2,1,70,2,1,67,7,1,67,1,1,66,5,1,58,4,1,75,9,0,75,10,0,58,8,0,64,3,1,62,6,0,63,1,1
4,w1vyd3st,,0,33,33,study_students,End,2024-09-03 07:15:23.249321,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,4,,0.0,F4KOqg,Dlh1Ug,1,Rechts Wirtschafts Sozial Studium,,Männlich,42,Promotion,Politikwissenschaft,Leitung Lehr- und Studienzentrum,11,11,7 10 4 9 3 2 1 8 6 5,8 5 3 6 9 2 4 1 10 7,15,0.2871,0.24008999999999997,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",0,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,1,63%,0,Keines,1,70%,0,Nein,0,"Merkmale, Reihenfolge der Merkmale und Scores",0,Regeln und Wahrscheinlichkeiten,3,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,0,-29,-15,80,36,10,-20,0,40,60,30,30,60,-74,7,1,85,10,1,75,4,1,70,9,0,76,3,1,80,2,1,60,1,1,78,8,0,90,6,1,50,5,0,90,8,0,85,5,0,85,3,1,77,6,1,68,9,0,78,2,1,80,4,1,85,1,1,94,10,1,81,7,1,70,1,1
5,r19fw14p,,0,33,33,study_students,End,2024-09-09 06:08:40.857117,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,5,,0.0,oeMfOg,AX6jaw,1,Ingenieur Studium,,Männlich,32,Master of Science,Maschinenbau,Wissenschaftlicher Mitarbeiter,11,11,5 1 2 4 9 8 10 3 7 6,3 9 8 2 10 7 5 1 6 4,15,0.32824,0.25671,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",0,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,0,63%,0,Keines,1,70%,0,Nein,1,"Merkmale, Reihenfolge der Merkmale und Scores",0,Wahrscheinlichkeiten,0,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,29,0,-82,51,58,0,0,-55,100,69,44,65,62,-68,5,1,70,1,1,50,2,1,84,4,1,83,9,0,94,8,0,80,10,0,67,3,1,67,7,1,88,6,0,89,3,1,57,9,0,85,8,0,67,2,1,73,10,0,50,7,1,90,5,1,76,1,1,67,6,0,83,4,1,85,1,1
6,65kqhk40,,0,33,33,study_students,End,2024-09-11 07:04:46.722161,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,6,,0.0,TrTqBw,GGPALw,1,ALLE,,Weiblich,35,Staatsexamen,"Lehramt für Haupt-, Real- und Gesamtschulen",Studienberaterin,11,11,2 8 7 4 10 6 9 3 1 5,3 1 9 5 10 4 7 6 2 8,156,0.14440000000000003,0.20282,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",0,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,0,63%,0,Keines,1,70%,0,Nein,0,"Merkmale, Reihenfolge der Merkmale und Scores",0,Wahrscheinlichkeiten,0,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,34,0,-60,0,55,0,20,-51,81,55,48,32,70,-80,2,1,82,8,1,79,7,0,65,4,1,60,10,1,70,6,1,90,9,0,50,3,1,65,1,0,50,5,1,75,3,1,65,1,0,65,9,0,49,5,1,65,10,1,73,4,1,65,7,0,87,6,1,69,2,1,81,8,1,81,1,1
7,dg30ixf6,,0,33,33,study_students,End,2024-09-12 06:15:00.240312,1,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,7,,0.0,8d2DNg,7P-hCA,1,Mathe Natur Studium,,Weiblich,31,Doktor,Informatik,Wissenschaftliche Mitarbeiterin,11,11,10 1 7 2 4 3 9 8 5 6,9 10 1 3 8 7 6 5 4 2,15,0.25576,0.24767999999999998,Der Studienerfolg von Studierenden mit ihren Studienprogrammen,0,"Die Merkmale von Studierenden bewerten, die mit Studienerfolg oder Studienabbruch zusammenhängen",0,Think Aloud-Methode,0,Um die Erfolgswahrscheinlichkeit von Studierenden einzuschätzen,0,Etwa 65% aller Studierenden schließen ihr Studium erfolgreich ab,0,Nein,0,Den Zusammenhang zwischen Merkmal und Wahrscheinlichkeit,0,63%,0,Keines,0,70%,0,Nein,0,"Merkmale, Reihenfolge der Merkmale und Scores",0,Wahrscheinlichkeiten,0,Erneute Schätzung von Erfolgswahrscheinlichkeiten,0,0,50,-20,-30,40,50,20,-30,-45,70,70,10,20,26,-21,10,1,30,1,0,60,7,1,90,2,1,70,4,1,30,3,0,50,9,1,55,8,0,49,5,1,65,6,1,45,9,1,70,10,1,40,1,0,40,3,0,65,8,0,63,7,1,75,6,1,34,5,1,68,4,1,38,2,1,75,1,1
8,77stju8r,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,8,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
9,mjkiq5ol,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,9,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
10,jv9smy4e,,0,0,33,,,,0,,,0.0,jn2fq7bu,Echte Sessions 28.08,,,,0,1.0,0.0,study_students,10,,0.0,,,0,,,,,,,,1,1,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
